Landmarks,Gesture
"[,8.31115961e-01,1.00731945e+00,2.92654420e-07,7.82385886e-01
,9.91540074e-01,-4.55334000e-02,7.39871800e-01,9.41011548e-01
,-7.70177022e-02,7.09846854e-01,8.97556961e-01,-1.02400593e-01
,6.80422604e-01,8.62216353e-01,-1.28295198e-01,8.12236667e-01
,8.49334538e-01,-7.11789429e-02,8.06742072e-01,7.75605440e-01
,-1.01376250e-01,8.06405604e-01,7.33347476e-01,-1.20840065e-01
,8.11104536e-01,6.98389769e-01,-1.33410856e-01,8.65505159e-01
,8.51434410e-01,-6.66298494e-02,8.96006942e-01,7.83972442e-01
,-9.73996297e-02,9.14619863e-01,7.48385489e-01,-1.15157276e-01
,9.33095455e-01,7.18551219e-01,-1.26917019e-01,9.04316545e-01
,8.67497444e-01,-6.48235455e-02,9.40709054e-01,8.06637645e-01
,-9.57643092e-02,9.60376561e-01,7.65536904e-01,-1.11255758e-01
,9.75845993e-01,7.28027165e-01,-1.19504400e-01,9.31241751e-01
,8.91141653e-01,-6.55514225e-02,9.65358078e-01,8.37467611e-01
,-8.86840895e-02,9.86591697e-01,8.07424128e-01,-9.68086869e-02
,1.00254011e+00,7.80074596e-01,-1.00990191e-01]",Your Gesture Name
"[,8.04081082e-01,9.87403929e-01,4.38335661e-07,7.53249645e-01
,9.57395554e-01,-3.45691815e-02,7.14874864e-01,9.01087105e-01
,-5.86249866e-02,6.86267018e-01,8.52980614e-01,-7.95384869e-02
,6.56009555e-01,8.16655934e-01,-1.01562232e-01,7.88468957e-01
,8.10473859e-01,-4.58812118e-02,7.77424216e-01,7.38896430e-01
,-7.27703571e-02,7.72687972e-01,6.90344691e-01,-9.36180502e-02
,7.72648275e-01,6.48125648e-01,-1.07949175e-01,8.36921394e-01
,8.06901753e-01,-4.64028940e-02,8.60753357e-01,7.23814249e-01
,-6.85161576e-02,8.72909486e-01,6.71236992e-01,-8.43139216e-02
,8.84970546e-01,6.24487996e-01,-9.55540240e-02,8.76622617e-01
,8.22271585e-01,-5.03279604e-02,9.05073822e-01,7.47897446e-01
,-7.23742917e-02,9.20168579e-01,6.93158865e-01,-8.50358456e-02
,9.32482064e-01,6.41755819e-01,-9.31624100e-02,9.08198059e-01
,8.53176534e-01,-5.71065918e-02,9.45854545e-01,7.99847245e-01
,-7.36882463e-02,9.66394365e-01,7.62542367e-01,-7.87963644e-02
,9.80670452e-01,7.24900663e-01,-8.17721188e-02]",Your Gesture Name
"[,7.94287086e-01,9.67356920e-01,5.26160989e-07,7.35963464e-01
,9.31755006e-01,-3.06962430e-02,6.90734506e-01,8.69097233e-01
,-4.98757400e-02,6.56352282e-01,8.16960931e-01,-6.69024661e-02
,6.23523474e-01,7.78161228e-01,-8.35002437e-02,7.56179392e-01
,7.65507579e-01,-3.02309394e-02,7.42312908e-01,6.80789351e-01
,-5.27337417e-02,7.37555563e-01,6.30565822e-01,-7.09639415e-02
,7.37005234e-01,5.94016671e-01,-8.26348364e-02,8.04740548e-01
,7.58690894e-01,-2.98042353e-02,8.24098468e-01,6.65581644e-01
,-4.38470803e-02,8.38230848e-01,6.09634280e-01,-5.52324280e-02
,8.51869583e-01,5.66869318e-01,-6.40115738e-02,8.45807493e-01
,7.72756040e-01,-3.38289440e-02,8.67578983e-01,6.94086909e-01
,-4.95317504e-02,8.82165015e-01,6.49714470e-01,-5.97441830e-02
,8.95103335e-01,6.12412274e-01,-6.65090457e-02,8.81792247e-01
,8.03732574e-01,-4.09494974e-02,9.15296376e-01,7.49928355e-01
,-5.42531647e-02,9.37486589e-01,7.19697356e-01,-5.90475537e-02
,9.55714166e-01,6.91950977e-01,-6.17055371e-02]",Your Gesture Name
"[,7.79852927e-01,9.37602818e-01,4.59646429e-07,7.17360914e-01
,8.99029613e-01,-2.33610608e-02,6.66906059e-01,8.37880075e-01
,-3.61886434e-02,6.30359232e-01,7.89615512e-01,-4.79050651e-02
,5.97615957e-01,7.56568670e-01,-5.96312620e-02,7.28956401e-01
,7.21685231e-01,-1.45381829e-02,7.13964641e-01,6.42935276e-01
,-2.83502936e-02,7.06900060e-01,5.95651865e-01,-4.20124196e-02
,7.04437196e-01,5.55545449e-01,-5.26746251e-02,7.76482582e-01
,7.12878346e-01,-1.71012599e-02,7.86909938e-01,6.20307922e-01
,-2.53982265e-02,7.92943180e-01,5.67051351e-01,-3.56234610e-02
,8.00803483e-01,5.23208201e-01,-4.46918868e-02,8.18069518e-01
,7.26312637e-01,-2.37320382e-02,8.39305878e-01,6.43165886e-01
,-3.66850048e-02,8.51639867e-01,5.97822726e-01,-4.68681827e-02
,8.63233805e-01,5.59629619e-01,-5.45977764e-02,8.53861153e-01
,7.57878482e-01,-3.28248590e-02,8.85275900e-01,7.01992989e-01
,-4.58387583e-02,9.04938698e-01,6.66770399e-01,-5.11139333e-02
,9.21297729e-01,6.32985413e-01,-5.47059737e-02]",Your Gesture Name
"[,7.66023993e-01,8.99793327e-01,5.11841506e-07,7.01669455e-01
,8.66559684e-01,-2.76237465e-02,6.46926224e-01,8.11071336e-01
,-4.26184125e-02,6.08463287e-01,7.66393363e-01,-5.56315333e-02
,5.74785411e-01,7.32512891e-01,-6.87203929e-02,7.08998203e-01
,6.90245807e-01,-2.19203718e-02,6.87391400e-01,6.12564743e-01
,-3.84936742e-02,6.77035213e-01,5.61235368e-01,-5.38294055e-02
,6.72572315e-01,5.15810609e-01,-6.61486909e-02,7.54116595e-01
,6.78345740e-01,-2.37042811e-02,7.57654071e-01,5.80519855e-01
,-3.45438309e-02,7.61833668e-01,5.22491634e-01,-4.60774228e-02
,7.68556178e-01,4.75390643e-01,-5.61129935e-02,7.95712233e-01
,6.90821230e-01,-2.96929106e-02,8.02609742e-01,6.03716612e-01
,-4.51302193e-02,8.08457673e-01,5.55477619e-01,-5.62173985e-02
,8.15108180e-01,5.13095379e-01,-6.47192225e-02,8.34553838e-01
,7.22893000e-01,-3.84982601e-02,8.60248566e-01,6.65325999e-01
,-5.44917211e-02,8.79107177e-01,6.28784299e-01,-6.12900592e-02
,8.95343423e-01,5.93991041e-01,-6.58757389e-02]",Your Gesture Name
"[,7.51874447e-01,8.64155531e-01,4.87065051e-07,6.83521569e-01
,8.35193574e-01,-2.55019385e-02,6.26505136e-01,7.80054867e-01
,-3.97560671e-02,5.88443995e-01,7.31760502e-01,-5.22568189e-02
,5.52481234e-01,6.97987854e-01,-6.47983626e-02,6.84320092e-01
,6.56192183e-01,-1.99041571e-02,6.61267996e-01,5.78134537e-01
,-3.56196165e-02,6.49118245e-01,5.27327299e-01,-5.01467288e-02
,6.42813861e-01,4.82993990e-01,-6.17300272e-02,7.30809093e-01
,6.41916811e-01,-2.24380903e-02,7.34113097e-01,5.42092323e-01
,-3.24094780e-02,7.36723602e-01,4.82984126e-01,-4.29922640e-02
,7.41329074e-01,4.33688313e-01,-5.23498617e-02,7.73229420e-01
,6.50794148e-01,-2.90040001e-02,7.81629205e-01,5.59434116e-01
,-4.30121906e-02,7.85585225e-01,5.07364810e-01,-5.29841818e-02
,7.88978934e-01,4.60902214e-01,-6.09475821e-02,8.14275980e-01
,6.78408563e-01,-3.81616428e-02,8.39323044e-01,6.15647197e-01
,-5.21927364e-02,8.53772402e-01,5.73481441e-01,-5.76640740e-02
,8.63894463e-01,5.32971680e-01,-6.15532883e-02]",Your Gesture Name
"[,7.41961300e-01,8.36215019e-01,4.97606322e-07,6.71622097e-01
,8.09000552e-01,-2.67320462e-02,6.13548934e-01,7.55537987e-01
,-4.18956913e-02,5.72284937e-01,7.07414925e-01,-5.49879633e-02
,5.32895029e-01,6.75172031e-01,-6.80254698e-02,6.62846386e-01
,6.24287128e-01,-2.08860729e-02,6.35147810e-01,5.43229163e-01
,-3.73118185e-02,6.19846642e-01,4.91338491e-01,-5.22762649e-02
,6.10020757e-01,4.45019662e-01,-6.41715825e-02,7.10566819e-01
,6.07339740e-01,-2.32476238e-02,7.09796011e-01,5.06224275e-01
,-3.40377800e-02,7.09124863e-01,4.46084559e-01,-4.55162264e-02
,7.09350467e-01,3.94859165e-01,-5.53965345e-02,7.54332721e-01
,6.15101159e-01,-2.97245160e-02,7.60718703e-01,5.23917198e-01
,-4.42803875e-02,7.62752235e-01,4.69492465e-01,-5.44584617e-02
,7.62781024e-01,4.19894516e-01,-6.25402257e-02,7.96196282e-01
,6.41867757e-01,-3.88148651e-02,8.18163395e-01,5.75817823e-01
,-5.27780205e-02,8.30337882e-01,5.32023191e-01,-5.76073974e-02
,8.37475419e-01,4.89484549e-01,-6.10332675e-02]",Your Gesture Name
"[,7.29091167e-01,8.10036182e-01,5.01862246e-07,6.57332957e-01
,7.82818079e-01,-2.59668231e-02,5.98408282e-01,7.26847649e-01
,-4.05638926e-02,5.56347311e-01,6.79880679e-01,-5.33207208e-02
,5.17588794e-01,6.46093130e-01,-6.60702139e-02,6.47528768e-01
,5.96218467e-01,-2.11279709e-02,6.16317809e-01,5.11957645e-01
,-3.80883552e-02,5.97695351e-01,4.57727998e-01,-5.30935563e-02
,5.83990276e-01,4.10261154e-01,-6.49631172e-02,6.93689048e-01
,5.80381572e-01,-2.42147911e-02,6.88983977e-01,4.76174921e-01
,-3.68092805e-02,6.86377466e-01,4.13757235e-01,-4.96418774e-02
,6.84266090e-01,3.60500127e-01,-6.00546598e-02,7.36988127e-01
,5.86968601e-01,-3.12555879e-02,7.38557160e-01,4.92449701e-01
,-4.77970913e-02,7.38202155e-01,4.36071873e-01,-5.89960851e-02
,7.35371828e-01,3.83945435e-01,-6.73347786e-02,7.79429972e-01
,6.11022651e-01,-4.07063104e-02,7.98587680e-01,5.41287899e-01
,-5.65677844e-02,8.09753418e-01,4.95609999e-01,-6.21170290e-02
,8.16136241e-01,4.51523602e-01,-6.56914264e-02]",Your Gesture Name
"[,7.15754688e-01,7.79118955e-01,5.23407664e-07,6.45783424e-01
,7.53081560e-01,-2.48166602e-02,5.87432086e-01,6.98010683e-01
,-4.03734781e-02,5.44252634e-01,6.52906716e-01,-5.44672497e-02
,5.03480673e-01,6.21237814e-01,-6.87444210e-02,6.33124948e-01
,5.65193415e-01,-2.15999298e-02,6.01365805e-01,4.80774581e-01
,-3.92095521e-02,5.83440125e-01,4.26053256e-01,-5.48233055e-02
,5.70729017e-01,3.78127068e-01,-6.73398748e-02,6.78385437e-01
,5.48435986e-01,-2.64857281e-02,6.71438038e-01,4.43141878e-01
,-4.03514653e-02,6.67681515e-01,3.79924178e-01,-5.43383174e-02
,6.64854407e-01,3.26326430e-01,-6.54823631e-02,7.21977651e-01
,5.54824233e-01,-3.50699462e-02,7.20860124e-01,4.55276579e-01
,-5.31334393e-02,7.18452036e-01,3.95775259e-01,-6.53229877e-02
,7.14297414e-01,3.41070622e-01,-7.43422434e-02,7.64746785e-01
,5.80032051e-01,-4.58084382e-02,7.82905996e-01,5.07479072e-01
,-6.31357804e-02,7.92967975e-01,4.59890664e-01,-6.92433566e-02
,7.98263907e-01,4.14520144e-01,-7.32352510e-02]",Your Gesture Name
"[,7.07040668e-01,7.45042682e-01,5.00402962e-07,6.34388864e-01
,7.23191142e-01,-2.47078557e-02,5.73298454e-01,6.72134340e-01
,-3.96804623e-02,5.29650092e-01,6.28316998e-01,-5.31648956e-02
,4.89667594e-01,5.94557405e-01,-6.66953698e-02,6.18339181e-01
,5.39658308e-01,-2.10404266e-02,5.84061027e-01,4.56938148e-01
,-3.83806191e-02,5.64277470e-01,4.02786076e-01,-5.37008159e-02
,5.50215721e-01,3.55295599e-01,-6.59813732e-02,6.63522840e-01
,5.19431353e-01,-2.53502131e-02,6.52974546e-01,4.14780021e-01
,-3.88477258e-02,6.49110556e-01,3.49995464e-01,-5.24499379e-02
,6.47181451e-01,2.95370340e-01,-6.35202751e-02,7.07948864e-01
,5.22235870e-01,-3.34578790e-02,7.03787684e-01,4.24575895e-01
,-5.07145487e-02,7.01954186e-01,3.65027905e-01,-6.30348399e-02
,6.98978841e-01,3.10836196e-01,-7.24033564e-02,7.53151655e-01
,5.43307960e-01,-4.37782705e-02,7.69218326e-01,4.71282780e-01
,-6.06199130e-02,7.78206348e-01,4.23147142e-01,-6.73122704e-02
,7.82759488e-01,3.77971172e-01,-7.18566775e-02]",Your Gesture Name
